002500;汽运区;1;1;1;0155662899;import;9991;2016/01/04 23:25:58
002500;铁运区;1;1;1;0164579878;import;26;2016/01/04 23:25:58
002500;航运区;1;1;1;0215589665;import;4270;2016/01/04 23:25:59
002500;铁运区;1;1;1;0164579878;export;26;2016/01/04 23:30:13
002500;航运区;1;1;1;0215589665;export;4270;2016/01/04 23:30:13
002500;汽运区;1;1;1;0155662899;export;9991;2016/01/04 23:30:13
002500;铁运区;1;1;1;4567897891;import;68;2016/01/04 23:47:57
002500;铁运区;1;1;2;5556667788;import;102;2016/01/04 23:47:57
002500;铁运区;1;1;1;4567897891;export;68;2016/01/04 23:48:28
002500;铁运区;1;1;2;5556667788;export;102;2016/01/04 23:48:28
002500;铁运区;1;1;1;1876653221;import;90;2016/01/05 00:09:30
002500;铁运区;1;1;1;1876653221;export;90;2016/01/05 00:10:01
002500;铁运区;1;1;1;0164579878;import;26;2016/01/05 09:46:26
002500;铁运区;1;1;2;0215589665;import;4270;2016/01/05 09:46:26
002500;铁运区;1;1;3;1230345679;import;355;2016/01/05 09:46:26
002500;汽运区;1;1;1;1324567897;import;210;2016/01/05 09:46:26
002500;汽运区;1;1;4;1876653221;import;90;2016/01/05 09:46:26
002500;航运区;1;1;1;3123133232;import;303902;2016/01/05 09:46:26
002500;航运区;1;1;5;4567897845;import;78;2016/01/05 09:46:26
002500;航运区;1;1;6;4567897891;import;68;2016/01/05 09:46:26
002500;铁运区;1;1;3;1230345679;export;355;2016/01/05 09:47:08
002500;航运区;1;1;5;4567897845;export;78;2016/01/05 09:47:08
002500;航运区;1;1;6;4567897891;export;68;2016/01/05 09:47:08
